iata,icao,name,city,country,lat,lon,elev_m,tz
ERF,EDDE,Erfurt-Weimar Airport,Erfurt,DE,50.97828,10.96071,316,Europe/Berlin
ERH,GMFK,Moulay Ali Cherif Airport,Errachidia,MA,31.94750,-4.39833,1045,Africa/Casablanca
ERI,KERI,Erie International Tom Ridge Field,Erie,US,42.08313,-80.17387,223,America/New_York
ERL,ZBER,Erenhot Saiwusu International Airport,Erenhot,CN,43.42408,112.09108,1006,Asia/Shanghai
ERS,FYWE,Eros Airport,Windhoek,NA,-22.60492,17.07900,1699,Africa/Windhoek
ERZ,LTCE,Erzurum International Airport,Erzurum,TR,39.95650,41.17020,1757,Europe/Istanbul
ESB,LTAC,Esenboğa International Airport,Ankara,TR,40.12810,32.99510,952,Europe/Istanbul
ESC,KESC,Delta County Airport,Escanaba,US,45.72320,-87.08862,186,America/Detroit
ESD,KORS,Orcas Island Airport,Eastsound,US,48.70820,-122.91000,9,America/Los_Angeles
ESL,URWI,Elista Airport,Elista,RU,46.37390,44.33090,153,Europe/Moscow
ESM,SETN,Carlos Concha Torres International Airport,Tachina,EC,0.97852,-79.62660,10,America/Guayaquil
ESR,SCES,Ricardo García Posada Airport,El Salvador,CL,-26.31110,-69.76520,1597,America/Santiago
ESU,GMMI,Essaouira-Mogador Airport,Essaouira,MA,31.39750,-9.68167,117,Africa/Casablanca
ETM,LLER,Ramon International Airport,Eilat,IL,29.72701,35.01412,88,Asia/Jerusalem
ETR,SERO,Santa Rosa - Artillery Colonel Victor Larrea International Airport,Santa Rosa,EC,-3.44199,-79.99696,6,America/Guayaquil
ETZ,LFJL,Metz-Nancy-Lorraine Airport,Goin,FR,48.98210,6.25132,265,Europe/Paris
EUG,KEUG,Eugene Airport,Eugene,US,44.12460,-123.21200,114,America/Los_Angeles
EUN,GMML,Laayoune Hassan I International Airport,El Aaiún,EH,27.14247,-13.22495,63,Africa/El_Aaiun
EUX,TNCE,F. D. Roosevelt Airport,Oranjestad,BQ,17.49650,-62.97940,39,America/Kralendijk
EVE,ENEV,Harstad/Narvik Airport,Evenes,NO,68.49130,16.67810,26,Europe/Oslo
EVN,UDYZ,Zvartnots International Airport,Yerevan,AM,40.14894,44.39789,865,Asia/Yerevan
EVV,KEVV,Evansville Regional Airport,Evansville,US,38.03700,-87.53240,127,America/Chicago
EWB,KEWB,New Bedford Regional Airport,New Bedford,US,41.67610,-70.95690,24,America/New_York
EWN,KEWN,Coastal Carolina Regional Airport,New Bern,US,35.07300,-77.04290,5,America/New_York
